variant,ticker,trades,wins,losses,scratches,win_rate,total_pnl,avg_trade_pnl,max_drawdown,profit_factor,avg_hold_days,sharpe_ish
v1_baseline,SPY,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_hold_day,SPY,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v3_phaseB,SPY,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v4_filtered,SPY,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v5_hedged,SPY,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1_baseline,QQQ,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_hold_day,QQQ,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v3_phaseB,QQQ,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v4_filtered,QQQ,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v5_hedged,QQQ,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1_baseline,COIN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_hold_day,COIN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v3_phaseB,COIN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v4_filtered,COIN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v5_hedged,COIN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1_baseline,MSTR,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v2_hold_day,MSTR,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v3_phaseB,MSTR,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v4_filtered,MSTR,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v5_hedged,MSTR,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
