tier,variant,ticker,entry_time,exit_time,contracts,ivr_at_entry,sigma_at_entry,entry_underlying,pnl_usd,pnl_pct,exit_reason,exit_result,hold_days
0,v1_baseline,SPY,2026-02-24 19:30:00+00:00,2026-03-03 19:40:00+00:00,1,100.0,0.111,686.8712158203125,347.41482436800277,0.5317523555077686,PROFIT_TARGET,WIN,7.006944444444445
0,v1_baseline,SPY,2026-03-06 19:40:00+00:00,2026-03-13 13:40:00+00:00,1,40.3,0.163,674.655029296875,411.90875298567653,0.5512950251099795,PROFIT_TARGET,WIN,6.75
0,v1_baseline,SPY,2026-03-18 13:40:00+00:00,2026-04-08 15:05:00+00:00,1,17.4,0.088,668.7301025390625,294.0268491349303,0.5184759638759434,PROFIT_TARGET,WIN,21.05902777777778
0,v1_baseline,SPY,2026-04-13 15:05:00+00:00,2026-04-23 19:55:00+00:00,1,14.1,0.095,679.97998046875,-406.24811133854024,-0.6842064318637097,END_OF_RANGE,LOSS,10.20138888888889
0,v2_hold_day,SPY,2026-02-24 19:30:00+00:00,2026-02-24 20:55:00+00:00,1,100.0,0.111,686.8712158203125,-87.88416927416378,-0.2504815290261146,EOD,LOSS,0.059027777777777776
0,v2_hold_day,SPY,2026-02-27 20:55:00+00:00,2026-03-02 15:00:00+00:00,1,45.0,0.101,686.280029296875,228.33690198777003,0.7416124632284851,PROFIT_TARGET,WIN,2.7534722222222223
0,v2_hold_day,SPY,2026-03-05 15:00:00+00:00,2026-03-05 20:55:00+00:00,1,17.2,0.088,684.25,-196.142841393589,-0.7659533330491636,EOD,LOSS,0.2465277777777778
0,v2_hold_day,SPY,2026-03-10 19:55:00+00:00,2026-03-11 15:10:00+00:00,1,30.4,0.131,677.0499877929688,201.4995292518676,0.5056310168402384,PROFIT_TARGET,WIN,0.8020833333333334
0,v2_hold_day,SPY,2026-03-16 15:10:00+00:00,2026-03-16 19:55:00+00:00,1,53.2,0.206,669.3900756835938,149.0868739466369,0.28556154969821973,EOD,WIN,0.19791666666666666
0,v2_hold_day,SPY,2026-03-19 19:55:00+00:00,2026-03-20 19:55:00+00:00,1,31.4,0.134,659.719970703125,-634.8744939072157,-1.738894732896028,EOD,LOSS,1.0
0,v2_hold_day,SPY,2026-03-25 19:55:00+00:00,2026-03-26 19:55:00+00:00,1,25.8,0.116,656.739990234375,-627.6646066186703,-1.8105724783549761,EOD,LOSS,1.0
0,v2_hold_day,SPY,2026-03-31 19:55:00+00:00,2026-04-01 19:55:00+00:00,1,42.8,0.172,650.239990234375,-72.39230360047237,-0.162431781760389,EOD,LOSS,1.0
0,v2_hold_day,SPY,2026-04-07 19:55:00+00:00,2026-04-08 19:55:00+00:00,1,22.9,0.134,659.260009765625,-632.5278546643023,-1.721299829246667,EOD,LOSS,1.0
0,v2_hold_day,SPY,2026-04-13 19:55:00+00:00,2026-04-14 15:35:00+00:00,1,7.4,0.08,686.010009765625,-506.44521586206963,-2.066237646656765,STOP_LOSS,LOSS,0.8194444444444444
0,v2_hold_day,SPY,2026-04-17 15:35:00+00:00,2026-04-17 19:55:00+00:00,1,27.0,0.152,711.2301025390625,54.7235594868706,0.12329261507480989,EOD,WIN,0.18055555555555555
0,v2_hold_day,SPY,2026-04-22 19:55:00+00:00,2026-04-23 19:55:00+00:00,1,4.6,0.08,711.2100219726562,103.141496655746,0.3980189063311732,EOD,WIN,1.0
0,v3_phaseB,SPY,2026-02-24 19:30:00+00:00,2026-03-20 18:10:00+00:00,1,100.0,0.111,686.8712158203125,-596.704296889996,-2.0009560820407035,STOP_LOSS,LOSS,23.944444444444443
0,v3_phaseB,SPY,2026-03-25 18:10:00+00:00,2026-03-25 18:15:00+00:00,1,58.6,0.224,657.97998046875,492.81479510284873,0.7018327587468742,PROFIT_TARGET,WIN,0.01
0,v3_phaseB,SPY,2026-03-30 18:15:00+00:00,2026-04-15 18:25:00+00:00,1,47.3,0.187,633.4600219726562,-1131.469016430307,-2.0006619810719997,STOP_LOSS,LOSS,16.006944444444443
0,v3_phaseB,SPY,2026-04-20 18:25:00+00:00,2026-04-23 19:55:00+00:00,1,9.0,0.08,708.3200073242188,-329.79427475027524,-1.3288927274197226,END_OF_RANGE,LOSS,3.0625
0,v4_filtered,SPY,2026-02-24 19:30:00+00:00,2026-03-20 18:10:00+00:00,1,100.0,0.111,686.8712158203125,-596.704296889996,-2.0009560820407035,STOP_LOSS,LOSS,23.944444444444443
0,v4_filtered,SPY,2026-03-25 18:10:00+00:00,2026-03-25 18:15:00+00:00,1,58.6,0.224,657.97998046875,492.81479510284873,0.7018327587468742,PROFIT_TARGET,WIN,0.01
0,v4_filtered,SPY,2026-03-31 18:55:00+00:00,2026-04-07 13:40:00+00:00,1,45.2,0.18,648.6400146484375,273.66381708184014,0.5004853155922023,PROFIT_TARGET,WIN,6.78125
0,v4_filtered,SPY,2026-04-22 13:30:00+00:00,2026-04-23 19:55:00+00:00,1,30.9,0.17,708.5599975585938,166.62345966288507,0.3160496273654346,END_OF_RANGE,WIN,1.2673611111111112
