combo_id,base,short_delta,long_delta,ivr_min,profit_target_pct,hard_exit_dte,target_dte,trades,wins,losses,win_rate,total_pnl,avg_trade,max_drawdown
453,v5_sweep,0.25,0.03,50,0.5,30,45,28,26,2,92.9,71639.81,2558.56,-893.56
449,v5_sweep,0.25,0.03,50,0.5,14,45,23,20,3,87.0,57763.98,2511.48,-4715.86
451,v5_sweep,0.25,0.03,50,0.5,21,45,23,20,3,87.0,57506.2,2500.27,-4534.72
525,v5_sweep,0.25,0.05,50,0.5,30,45,27,25,2,92.6,66933.5,2479.02,-697.1
523,v5_sweep,0.25,0.05,50,0.5,21,45,22,19,3,86.4,54342.85,2470.13,-3390.72
454,v5_sweep,0.25,0.03,50,0.75,14,30,22,20,2,90.9,54246.58,2465.75,-1150.14
521,v5_sweep,0.25,0.05,50,0.5,14,45,22,19,3,86.4,53947.5,2452.16,-4265.07
526,v5_sweep,0.25,0.05,50,0.75,14,30,22,20,2,90.9,51510.72,2341.4,-986.02
447,v5_sweep,0.25,0.03,50,0.25,30,45,30,28,2,93.3,69172.92,2305.76,-893.56
517,v5_sweep,0.25,0.05,50,0.25,21,45,24,21,3,87.5,55118.82,2296.62,-3390.72
519,v5_sweep,0.25,0.05,50,0.25,30,45,30,28,2,93.3,68832.76,2294.43,-697.1
515,v5_sweep,0.25,0.05,50,0.25,14,45,24,21,3,87.5,54723.47,2280.14,-4265.07
443,v5_sweep,0.25,0.03,50,0.25,14,45,24,21,3,87.5,53406.18,2225.26,-4715.86
445,v5_sweep,0.25,0.03,50,0.25,21,45,24,21,3,87.5,53148.4,2214.52,-4534.72
448,v5_sweep,0.25,0.03,50,0.5,14,30,27,25,2,92.6,56253.01,2083.44,-1150.14
442,v5_sweep,0.25,0.03,50,0.25,14,30,32,30,2,93.8,64381.32,2011.92,-1150.14
520,v5_sweep,0.25,0.05,50,0.5,14,30,27,25,2,92.6,53410.2,1978.16,-986.02
444,v5_sweep,0.25,0.03,50,0.25,21,30,34,32,2,94.1,65619.41,1929.98,-1001.0
593,v5_sweep,0.25,0.1,50,0.5,14,45,21,18,3,85.7,40064.37,1907.83,-3598.29
450,v5_sweep,0.25,0.03,50,0.5,21,30,30,27,3,90.0,56914.06,1897.14,-1001.0
514,v5_sweep,0.25,0.05,50,0.25,14,30,31,29,2,93.5,55890.81,1802.93,-986.02
522,v5_sweep,0.25,0.05,50,0.5,21,30,30,27,3,90.0,54048.54,1801.62,-739.84
589,v5_sweep,0.25,0.1,50,0.25,21,45,23,20,3,87.0,40549.58,1763.03,-2840.57
587,v5_sweep,0.25,0.1,50,0.25,14,45,23,20,3,87.0,40474.13,1759.74,-3598.29
591,v5_sweep,0.25,0.1,50,0.25,30,45,29,27,2,93.1,50772.57,1750.78,-628.91
446,v5_sweep,0.25,0.03,50,0.25,30,30,39,34,5,87.2,67348.63,1726.89,-1600.36
452,v5_sweep,0.25,0.03,50,0.5,30,30,39,34,5,87.2,67348.63,1726.89,-1600.36
